Condition,CoherenceDifference
ES,-0.00210073
ES,0.005225786
ES,0.021562841
ES,0.00236267
ES,0.015471669
ES,0.022340272
ES,0.018016059
ES,0.022744922
ES,0.006092071
ES,-0.012871559
ES,0.03311715
ES,1.13E-02
ES,0.011788966
ES,0.005432119
ES,0.010192166
ES,0.008072178
ES,0.019461209
ES,0.011162126
ES,0.009724641
EW,0.011187489
EW,0.008648612
EW,0.00324073
EW,0.015591016
EW,0.012421627
EW,0.02138519
EW,0.009392904
EW,0.018646944
EW,0.011378442
EW,-2.78E-05
EW,0.046130676
EW,0.011750229
EW,0.023148133
EW,0.008102782
EW,0.00730037
EW,0.021325916
EW,0.01076209
EW,0.006475474
EW,0.015520842
RS,0.005793487
RS,-0.000770927
RS,0.005584956
RS,-0.004104897
RS,0.01829936
RS,0.019463151
RS,0.011080622
RS,0.012989164
RS,0.011371593
RS,0.004441227
RS,0.039312483
RS,0.01332317
RS,0.008203599
RS,0.003535496
RS,0.006887141
RS,0.016797696
RS,0.028976902
RS,0.005493244
RS,0.006039269
RW,0.001220518
RW,0.002418028
RW,0.011832608
RW,0.000366604
RW,0.003820555
RW,0.017607633
RW,0.009862072
RW,0.020358105
RW,0.010582358
RW,0.006313399
RW,0.031786656
RW,0.011702424
RW,0.010031363
RW,0.003346124
RW,-0.000187235
RW,0.013945881
RW,0.010009871
RW,0.011193512
RW,0.006012789
