Subject,EnglishStrong,EnglishWeak,RussianStrong,RussianWeak
1,0.022745314,0.014106019,-0.008561102,0.017514258
2,0.027692967,0.003593713,0.019871775,0.009518969
3,0.018960128,0.012345661,0.019972389,0.014795006
4,-0.008804141,-0.000171164,0.021500454,0.043750747
5,0.001592307,0.011459827,0.016732133,0.022613152
6,0.03067011,0.026251828,0.012357327,-0.002743012
7,0.011525607,0.008119429,0.029175846,0.010584623
8,0.007523633,0.008208525,0.007139805,0.025996216
9,0.002999078,-0.023528329,0.036169804,0.024573843
10,0.033946342,-0.011564338,0.009082219,0.051077737
11,0.011612592,0.02042182,0.026087968,0.004929466
12,0.039665599,-0.00199603,0.02251257,-0.0225972
13,-0.014378746,0.019689687,0.027369742,0.010780083
14,0.015409107,0.01326643,0.004964657,0.009888528
15,0.00488883,0.053980675,0.010767463,0.019976773
16,0.006077009,0.028148583,0.019526431,0.016693345
17,-0.010795618,0.026808029,0.030046477,0.046149805
18,-0.008651128,-0.006797805,0.022387535,0.021887758
19,0.014992293,-0.020530249,0.057568992,0.017103352
