Condition,CoherenceDifference
ES,0.022745314
ES,0.027692967
ES,0.018960128
ES,-0.008804141
ES,0.001592307
ES,0.03067011
ES,0.011525607
ES,0.007523633
ES,0.002999078
ES,0.033946342
ES,0.011612592
ES,0.039665599
ES,-0.014378746
ES,0.015409107
ES,0.00488883
ES,0.006077009
ES,-0.010795618
ES,-0.008651128
ES,0.014992293
EW,0.014106019
EW,0.003593713
EW,0.012345661
EW,-0.000171164
EW,0.011459827
EW,0.026251828
EW,0.008119429
EW,0.008208525
EW,-0.023528329
EW,-0.011564338
EW,0.02042182
EW,-0.00199603
EW,0.019689687
EW,0.01326643
EW,0.053980675
EW,0.028148583
EW,0.026808029
EW,-0.006797805
EW,-0.020530249
RS,-0.008561102
RS,0.019871775
RS,0.019972389
RS,0.021500454
RS,0.016732133
RS,0.012357327
RS,0.029175846
RS,0.007139805
RS,0.036169804
RS,0.009082219
RS,0.026087968
RS,0.02251257
RS,0.027369742
RS,0.004964657
RS,0.010767463
RS,0.019526431
RS,0.030046477
RS,0.022387535
RS,0.057568992
RW,0.017514258
RW,0.009518969
RW,0.014795006
RW,0.043750747
RW,0.022613152
RW,-0.002743012
RW,0.010584623
RW,0.025996216
RW,0.024573843
RW,0.051077737
RW,0.004929466
RW,-0.0225972
RW,0.010780083
RW,0.009888528
RW,0.019976773
RW,0.016693345
RW,0.046149805
RW,0.021887758
RW,0.017103352
