Subject,EnglishStrong,EnglishWeak,RussianStrong,RussianWeak
1,0.026937174,0.033164674,0.019003061,0.028027817
2,0.024720472,0.006945039,0.017476169,0.005897372
3,0.04004574,0.033888013,0.038650609,0.041082424
4,0.010126459,0.012508643,0.017791748,0.017779155
5,0.038353896,0.046753783,0.069944197,0.065042033
6,0.072615091,0.075698416,0.047469112,0.03331516
7,0.017921242,0.049023878,0.060807736,0.047569436
8,0.042702288,0.037758055,0.027606568,0.053966428
9,0.017852795,-0.003988447,0.064669653,0.038664946
10,0.021198776,0.015768759,0.013298502,0.044335351
11,0.059418129,0.086481454,0.067566872,0.04957124
12,5.51E-02,0.019426271,0.021651371,0.010374272
13,0.015722617,0.02997142,0.042784199,0.024188727
14,0.029553011,0.037362409,0.036069202,0.024258424
15,0.031172085,0.059194923,0.023982989,0.028976148
16,0.023206974,0.066061588,0.053268549,0.036556995
17,0.023452919,0.052454191,0.045967032,0.060618243
18,0.011989063,0.016857473,0.02721347,0.03843919
19,0.026459515,0.011455911,0.039878746,0.025759
