Subject,EnglishStrong,EnglishWeak,RussianStrong,RussianWeak
1,-0.013999549,0.037963402,0.000889059,-0.005090879
2,0.009493526,0.018044499,0.005352711,-0.024915579
3,0.079376705,-0.126562541,0.01367937,0.046058845
4,-0.009894692,0.028160725,-0.027461016,0.024179415
5,-0.060029168,-0.015430315,0.094486886,0.021789527
6,0.019598885,-0.025463606,0.004481046,0.005019434
7,0.045922627,0.038524039,-0.037335937,0.004626019
8,-0.004118848,0.008454614,0.026904986,-0.006768631
9,-0.001157265,-0.0419042,0.009574789,0.012371883
10,-0.014438372,-0.018266256,0.036942726,-0.013609782
11,-0.031836209,0.041476102,-0.019443321,0.019261807
12,4.85E-02,0.00863253,0.019138249,-0.061760273
13,0.009417341,0.018006834,-0.002910614,-0.009215573
14,0.00429721,0.030771801,0.00151197,0.000958214
15,0.048304285,0.01068475,0.019115971,-0.063985486
16,-0.031520091,0.040706875,-0.003222621,0.028405713
17,0.013093363,0.014289303,0.007419331,-0.012768284
18,-0.010141143,0.028949454,-0.007141389,-0.002924384
19,0.018814049,0.035862538,-0.021819353,-0.035482404
,,,,
