Subject,EnglishStrong,EnglishWeak,RussianStrong,RussianWeak
1,0.007666789,0.012764627,-0.029380947,0.007955698
2,0.042995923,-0.018333239,0.01595241,-0.020217638
3,0.024857008,-0.056382522,0.026281821,0.022373664
4,-0.019048397,-0.033085009,0.015103547,0.049093276
5,-0.009670526,-0.007888607,0.01470896,0.019598061
6,0.041684936,0.013494644,-0.013031012,-0.021973672
7,0.00895121,0.009017086,0.025060029,-0.009144433
8,0.011197284,-0.0059251,0.003155902,0.024749913
9,-0.008674934,-0.065863899,0.054132334,0.023443138
10,0.060128354,-0.073515526,-0.008868446,0.027120904
11,-0.02084225,0.035494558,0.026874479,-0.020405902
12,0.100090857,-0.044956347,0.027103786,-0.070099109
13,-0.053087212,0.017385656,0.035820663,0.006482483
14,-0.000116551,0.015088603,0.004892675,-0.000755393
15,-0.049145274,0.061392333,0.001177429,0.011825563
16,-0.01039502,0.016106821,0.003138705,0.015131913
17,-0.075081657,0.022961124,0.018399347,0.058007632
18,-0.024419442,-0.004665484,0.010487674,0.017062487
19,-0.001877606,-0.066833017,0.086469122,0.00671278
,,,,
