Condition,PowerDifference
ES,0.007666789
ES,0.042995923
ES,0.024857008
ES,-0.019048397
ES,-0.009670526
ES,0.041684936
ES,0.00895121
ES,0.011197284
ES,-0.008674934
ES,0.060128354
ES,-0.02084225
ES,0.100090857
ES,-0.053087212
ES,-0.000116551
ES,-0.049145274
ES,-0.01039502
ES,-0.075081657
ES,-0.024419442
ES,-0.001877606
EW,0.012764627
EW,-0.018333239
EW,-0.056382522
EW,-0.033085009
EW,-0.007888607
EW,0.013494644
EW,0.009017086
EW,-0.0059251
EW,-0.065863899
EW,-0.073515526
EW,0.035494558
EW,-0.044956347
EW,0.017385656
EW,0.015088603
EW,0.061392333
EW,0.016106821
EW,0.022961124
EW,-0.004665484
EW,-0.066833017
RS,-0.029380947
RS,0.01595241
RS,0.026281821
RS,0.015103547
RS,0.01470896
RS,-0.013031012
RS,0.025060029
RS,0.003155902
RS,0.054132334
RS,-0.008868446
RS,0.026874479
RS,0.027103786
RS,0.035820663
RS,0.004892675
RS,0.001177429
RS,0.003138705
RS,0.018399347
RS,0.010487674
RS,0.086469122
RW,0.007955698
RW,-0.020217638
RW,0.022373664
RW,0.049093276
RW,0.019598061
RW,-0.021973672
RW,-0.009144433
RW,0.024749913
RW,0.023443138
RW,0.027120904
RW,-0.020405902
RW,-0.070099109
RW,0.006482483
RW,-0.000755393
RW,0.011825563
RW,0.015131913
RW,0.058007632
RW,0.017062487
RW,0.00671278
