Subject,EnglishStrong,EnglishWeak,RussianStrong,RussianWeak
1,-0.033349631,0.029640445,0.008641759,0.003984711
2,0.054947406,0.02302932,0.00541826,-0.020444932
3,0.051138961,-0.114341121,0.04634289,0.038615038
4,0.02591419,0.011456659,-0.026543036,-0.002133893
5,-0.041642893,-0.03405811,0.065847689,0.011846219
6,0.037502055,0.028094579,-0.019508612,-0.035150867
7,-0.001544808,0.043447293,0.020222561,-0.007920712
8,0.006442114,0.014136829,0.008695272,-0.004474314
9,-0.017618169,-0.068681771,0.068349868,0.013282445
10,0.020667653,-0.009483011,-0.015849035,-0.043761645
11,-0.049380591,0.044135482,0.010563709,-0.046681366
12,7.86E-02,-0.013592761,-0.002792182,-0.079041353
13,-0.05837743,0.012954593,0.037243278,0.00657724
14,0.006613777,0.017018769,0.022392229,-0.014570164
15,0.006488386,0.010219107,-0.014379722,0.004099849
16,-0.046610486,0.020660141,-0.004353667,0.032675181
17,-0.054979046,0.032548882,0.024539156,0.009715694
18,-0.016948043,0.005164869,-0.003987183,-0.013532697
19,-0.019056528,-0.018201097,0.029642672,0.002316572
,,,,
