Condition,PowerDifference
ES,-0.033349631
ES,0.054947406
ES,0.051138961
ES,0.02591419
ES,-0.041642893
ES,0.037502055
ES,-0.001544808
ES,0.006442114
ES,-0.017618169
ES,0.020667653
ES,-0.049380591
ES,7.86E-02
ES,-0.05837743
ES,0.006613777
ES,0.006488386
ES,-0.046610486
ES,-0.054979046
ES,-0.016948043
ES,-0.019056528
EW,0.029640445
EW,0.02302932
EW,-0.114341121
EW,0.011456659
EW,-0.03405811
EW,0.028094579
EW,0.043447293
EW,0.014136829
EW,-0.068681771
EW,-0.009483011
EW,0.044135482
EW,-0.013592761
EW,0.012954593
EW,0.017018769
EW,0.010219107
EW,0.020660141
EW,0.032548882
EW,0.005164869
EW,-0.018201097
RS,0.008641759
RS,0.00541826
RS,0.04634289
RS,-0.026543036
RS,0.065847689
RS,-0.019508612
RS,0.020222561
RS,0.008695272
RS,0.068349868
RS,-0.015849035
RS,0.010563709
RS,-0.002792182
RS,0.037243278
RS,0.022392229
RS,-0.014379722
RS,-0.004353667
RS,0.024539156
RS,-0.003987183
RS,0.029642672
RW,0.003984711
RW,-0.020444932
RW,0.038615038
RW,-0.002133893
RW,0.011846219
RW,-0.035150867
RW,-0.007920712
RW,-0.004474314
RW,0.013282445
RW,-0.043761645
RW,-0.046681366
RW,-0.079041353
RW,0.00657724
RW,-0.014570164
RW,0.004099849
RW,0.032675181
RW,0.009715694
RW,-0.013532697
RW,0.002316572
